date,universe_size,n_factors,explained_variance,n_tradeable,median_kappa,median_half_life_days,mean_r_squared,n_long,n_short,gross_exposure,net_exposure,factor_exposure_before_hedge,factor_exposure_after_hedge
2014-01-13,46,4,0.5555591499347043,46,31.986129673175874,5.46347488442864,0.541560871909276,8,7,0.8450458575384948,-0.0007763390592176525,0.1537529866703204,1.1449174941446927e-16
2014-01-14,46,4,0.5551286590273143,46,33.266969033460754,5.251406514650985,0.5387395766886293,7,6,0.772249535969106,-0.009756938823933484,0.19227626442285048,1.5265566588595902e-16
2014-01-15,46,4,0.5553835532054958,45,36.414593186861175,4.796788161404763,0.5369213757470289,8,6,0.7925998406863433,-0.018798323729549503,0.10534969151116916,4.85722573273506e-17
2014-01-16,46,4,0.5545005038355291,46,35.27910865189396,4.951204787845324,0.5357163511555302,10,7,0.9573660816499805,-0.00045671888004437944,0.12562125254265344,1.1796119636642288e-16
2014-01-17,46,4,0.5545921694462875,45,36.5299650325275,4.781638562905042,0.5354764573746301,12,8,1.1390670428121075,-0.04507142238396715,0.2179150551498425,3.7470027081099033e-16
2014-01-20,46,4,0.5545991517121099,46,36.23504095327243,4.82143413249269,0.5335383113266526,13,9,1.2308814563171726,-6.332484731307042e-05,0.26159406681910713,2.0816681711721685e-16
2014-01-21,46,4,0.5546914485181637,46,39.26522322697845,4.44854442251518,0.5360119836271054,12,9,1.2349727960222905,0.006777826972032913,0.37403801414128657,1.0408340855860843e-16
2014-01-22,46,4,0.5540947837251415,46,38.86499167942259,4.495448940929682,0.5354881948838145,11,8,1.0623212787031069,-0.04733702716190823,0.19820594415062423,2.220446049250313e-16
2014-01-23,46,4,0.5556600935875735,46,36.80240022863846,4.747463094552062,0.5437750175238566,11,9,1.103462202296177,-0.09352059998226417,0.17971580001787307,1.1796119636642288e-16
2014-01-24,46,4,0.5608210844105243,45,42.293768338934086,4.129995892097148,0.5718566296282888,10,10,1.1985555905112706,-0.12932108198706668,0.3321925036060698,1.231653667943533e-16
2014-01-27,46,4,0.5618672549556272,46,41.359593101183705,4.223364637315999,0.5753420738341006,13,10,1.2970173419811035,-0.1146540843947956,0.24329753426078515,2.203098814490545e-16
2014-01-28,46,4,0.5614231580534298,46,39.58500380721582,4.413470689706957,0.5786998617447422,12,10,1.226092400551781,-0.07028429494070901,0.2759176339288422,1.2836953722228372e-16
2014-01-29,46,4,0.5569261376035647,46,42.32784383501555,4.126817572543734,0.5782899100603454,11,9,1.1719910874667414,-0.02906965851306486,0.30115386522233933,1.1102230246251565e-16
2014-01-30,46,4,0.556907947766236,46,40.23653647460539,4.342570620410858,0.5751522693135128,13,9,1.1914943076427367,-0.0070035003203570215,0.21272798538972734,2.220446049250313e-16
2014-01-31,46,4,0.5547188362423098,45,43.57397707562777,4.008656111374468,0.5694268820987105,11,8,1.1024885637681134,-0.028704510123107818,0.15813607485508546,2.1684043449710089e-16
2014-02-03,46,4,0.556723190046025,46,43.64801967191014,4.002060929066721,0.5753737339286022,10,8,1.0807871887082172,-0.020896025644886254,0.2529210697929468,1.339206523454095e-15
2014-02-04,46,4,0.5567665773218816,46,37.90851307288244,4.607770166399936,0.5769757231967577,11,5,0.9904972779591519,-0.02801455976974018,0.3147257156736425,1.6653345369377348e-16
2014-02-05,46,4,0.5568936978216663,46,38.251909463794945,4.572805088483078,0.5781927972346155,10,7,0.9866825243519545,-0.06809833586083136,0.21493878801078975,1.734723475976807e-16
