,paper (hedged),unhedged
2017-11-06,1.0011555693960614,1.144279515655891
2017-11-07,0.9982526726202678,1.1418108611629578
2017-11-08,0.9970430136042938,1.1400282528599837
2017-11-09,0.9912440057176434,1.1327196092171905
2017-11-10,0.993004910505445,1.1348043991860945
2017-11-13,0.993322790143354,1.1348340760630256
2017-11-14,0.9926525123915334,1.134133872657461
2017-11-15,0.9917367965326139,1.1334081745305564
2017-11-16,0.9902856314293728,1.131227119477853
2017-11-17,0.987387078392096,1.1294565087297554
2017-11-20,0.9875171490512005,1.1304194205013756
2017-11-21,0.9864533827358335,1.129695195884306
2017-11-22,0.9898471523705951,1.1323915023315583
2017-11-23,0.9902675889644494,1.133547242503044
2017-11-24,0.9884492947644146,1.1316811500459583
2017-11-27,0.9887395676349672,1.131733918508447
2017-11-28,0.9884153077737454,1.1314141562528
2017-11-29,0.9872417737736164,1.1269719822644344
2017-11-30,0.9850973392543784,1.1237494793559462
2017-12-01,0.9863579159743802,1.1211035298077896
2017-12-04,0.9866265092030716,1.1255342071715388
2017-12-05,0.9856925706673737,1.1245684098498197
2017-12-06,0.9836669178513208,1.1233345670804218
2017-12-07,0.9822798730153851,1.122194610819087
2017-12-08,0.9830693781257643,1.1231712378696608
2017-12-11,0.9852610739268732,1.1262488962531165
2017-12-12,0.9897801854961406,1.1306208697078761
2017-12-13,0.9879755526548151,1.129177817060485
2017-12-14,0.9893614912151765,1.1306488606018812
2017-12-15,0.9900814673736363,1.1318202021104544
2017-12-18,0.9918256556641921,1.1323579224671858
2017-12-19,0.9922716020668604,1.1333558437924995
2017-12-20,0.9907375820562699,1.1313258250010658
2017-12-21,0.990789703994051,1.132112870280302
2017-12-22,0.9901555522626879,1.1309110369810553
2017-12-27,0.9896620739158165,1.1305876952202418
2017-12-28,0.9908140433350322,1.1322013206611985
2017-12-29,0.991237964949854,1.133314776883123
2018-01-02,0.992205008772389,1.1345233756563537
2018-01-03,0.9911601178198622,1.1331106822312396
2018-01-04,0.990343438235834,1.1319971967027742
2018-01-05,0.9885325359261709,1.1301541850960688
2018-01-08,0.9868648320959232,1.1284683635078496
2018-01-09,0.9857870430379801,1.1279568588922695
2018-01-10,0.9910055012821994,1.1334272033654502
2018-01-11,0.9896488723766887,1.1323813529867273
2018-01-12,0.9904607857682334,1.1335782966129413
2018-01-15,0.9892201520132635,1.1322802823737543
2018-01-16,0.9919882604265523,1.1359858805362475
2018-01-17,0.9918227763552733,1.1346429960323445
2018-01-18,0.992260952218487,1.1351902800475613
2018-01-19,0.9951793338820529,1.141840072597736
2018-01-22,0.995304490846106,1.1446897825418791
2018-01-23,0.9986802552112436,1.1471371770792844
2018-01-24,1.0000371770573164,1.1453094165402136
2018-01-25,0.9997212918149139,1.1433019546998102
2018-01-26,0.9983011549647453,1.143026572116517
